latitude,longitude,uuid,gattung_botanisch,gattung_deutsch,art_botanisch,art_deutsch,alleebaum,hoehe,stammdurchmesser,stammumfang,kronendurchmesser,baumpatenschaft
54.0716028125699,12.0976108430369,2e8e7f01-3c66-4df3-9496-f176fbc21a56,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,14.00,18.00,56.55,5.80,0
54.0715914127427,12.0975595067967,89cc78db-04e8-43dc-9feb-ae4c6fd35682,Acer,Ahorn,Acer pseudoplatanus,Berg-Ahorn,0,14.00,22.28,70.00,5.30,0
54.0715744589149,12.0975499886824,25a81250-33db-41d6-adae-7ca51af570b1,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,14.00,22.28,70.00,5.50,0
54.0715925593993,12.0975325199183,226b825c-a269-4249-864e-cfe705e94759,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,14.00,15.92,50.00,5.60,0
54.0715705788579,12.0975233527092,a99d2aea-7ed2-4b02-a2f8-004283de0d38,Betula,Birke,Betula pendula,Sand-Birke,0,13.00,9.55,30.00,4.00,0
54.0713911938364,12.0970799895483,b499e1fe-1712-4e9d-85c0-032b7fb65883,Robinia,Scheinakazie,Robinia pseudoacacia,Gemeine Robinie,0,20.00,19.00,59.69,7.80,0
54.0713948968911,12.0970471677792,ad85815f-2464-4361-8473-9a121de74536,Robinia,Scheinakazie,Robinia pseudoacacia,Gemeine Robinie,0,20.00,15.92,50.00,5.70,0
54.0596714565192,12.0954695144447,dee976ba-0958-40a2-8327-32562a10eb3e,Betula,Birke,Betula pendula,Sand-Birke,0,7.00,13.00,40.84,3.00,0
54.0596588990526,12.0954000867365,fe82b9f6-6b44-4bec-8cee-6536a2d183d0,Betula,Birke,Betula pendula,Sand-Birke,0,7.00,14.00,43.98,3.50,0
54.0590609806683,12.0922138336991,a6f5ce19-d28c-48b0-8662-39d93b8762bb,Salix,Weide,Salix species,Weide,0,8.00,38.00,119.38,7.00,0
54.0580991577443,12.0797790633845,cfb8efe7-dffc-44b7-9af6-55734360ef7a,Crataegus,Weißdorn,Crataegus monogyna,Eingriffliger Weißdorn,0,5.00,12.73,40.00,3.30,0
54.0951134956995,12.1097683700261,89036fef-dec6-4b7f-a4c4-3e81ab898f09,Carpinus,Hain-/Weißbuche,Carpinus betulus,Gemeine Hainbuche,0,6.00,7.96,25.00,3.00,0
54.1477341815151,12.0822665708352,4e239e8f-51ca-433c-ad1b-b59bf7643659,Tilia,Linde,Tilia cordata,Winter-Linde,1,9.00,16.00,50.27,4.00,0
54.0900386028283,12.1790972936937,3b4f1fdf-d6ab-4122-8da2-f3f892a85d92,Salix,Weide,Salix species,Weide,0,20.00,50.00,157.08,15.70,0
54.0887705539955,12.1781729023336,7d54c414-7beb-412d-85a3-ec3ac1440cc0,Salix,Weide,Salix species,Weide,0,15.00,30.00,94.25,12.00,0
54.0883133714763,12.177825120054,90df2150-a5f2-416d-8c47-9609e2da21a5,Salix,Weide,Salix species,Weide/Kopfbaum,0,4.00,180.00,565.49,5.60,0
54.0824629572764,12.169230416035,02f5dbc5-7a2c-480f-9b0f-4b4834c90e6f,Salix,Weide,Salix species,Weide,0,5.00,30.00,94.25,10.70,0
